ZIPN,ZIPA,RUCA2,ZIPTYP,PARZIP,LINF1,LINF4,TTIM1A,TTIM4A,FASTA,TDIS1A,TDIS4A,SHORTA,TTIM1B,TTIM4B,FASTB,TDIS1B,TDIS4B,SHORTB,UP1SZ,UP2SZ,FIPSST,STATE,MST,UUSZ,UTYP,POPCAT5
54762,54762,10.6,1,54762,2,2,4,2,2,3,2,2,4,2,2,3,2,2,-9,-9,55,WI,,-9,-9,5
54763,54763,10.5,1,54763,2,2,3,2,2,2,1,2,3,2,2,2,1,2,-9,-9,55,WI,,-9,-9,5
54764,54764,10.4,2,54755,2,2,2,2,1,1,2,1,2,2,1,1,2,1,-9,-9,55,WI,,-9,-9,1
54765,54765,10.5,1,54765,2,2,2,2,1,1,2,1,2,2,1,1,2,1,-9,-9,55,WI,,-9,-9,3
54766,54766,8,1,54766,2,2,4,6,1,3,4,1,4,6,1,3,4,1,-9,-9,55,WI,,-9,-9,5
54767,54767,10.4,1,54767,2,2,3,1,2,2,1,2,3,1,2,2,1,2,-9,-9,55,WI,,-9,-9,5
54768,54768,10.4,1,54768,2,2,1,4,1,1,3,1,1,4,1,1,3,1,-9,-9,55,WI,,-9,-9,5
54769,54769,10,1,54769,2,2,4,3,2,3,2,2,4,3,2,3,2,2,-9,-9,55,WI,,-9,-9,3
54770,54770,10.4,1,54770,2,2,1,3,1,1,3,1,1,3,1,1,3,1,-9,-9,55,WI,,-9,-9,5
54771,54771,10,1,54771,2,2,2,3,1,2,3,1,2,3,1,2,3,1,-9,-9,55,WI,,-9,-9,5
54772,54772,10.5,1,54772,2,2,3,1,2,2,1,2,3,1,2,2,1,2,-9,-9,55,WI,,-9,-9,5
54773,54773,10,1,54773,2,2,2,3,1,2,2,1,2,3,1,2,2,1,-9,-9,55,WI,,-9,-9,5
54774,54774,1,2,54729,-1,-1,0,-1,1,0,-1,1,0,-1,1,0,-1,1,-9,-9,55,WI,,-9,-9,1
54801,54801,7,1,54801,2,2,5,6,1,5,5,1,5,6,1,5,5,1,-9,-9,55,WI,,-9,-9,5
54805,54805,10.6,1,54805,2,2,4,4,1,3,2,2,4,4,1,3,2,2,-9,-9,55,WI,,-9,-9,5
54806,54806,7,1,54806,2,2,5,6,1,4,6,1,5,6,1,4,6,1,-9,-9,55,WI,,-9,-9,5
54810,54810,3,1,54810,2,2,4,5,1,3,3,1,4,5,1,3,3,1,-9,-9,55,WI,,-9,-9,5
54812,54812,7,1,54812,2,2,3,3,1,3,2,2,3,3,1,3,2,2,-9,-9,55,WI,,-9,-9,5
54813,54813,10,1,54813,2,2,5,5,1,4,4,2,5,5,1,4,4,2,-9,-9,55,WI,,-9,-9,4
54814,54814,10,1,54814,2,2,6,6,1,5,6,1,6,6,1,5,6,1,-9,-9,55,WI,,-9,-9,5
54816,54816,10.3,2,54856,2,2,5,6,1,4,5,1,5,6,1,4,5,1,-9,-9,55,WI,,-9,-9,1
54817,54817,10,1,54817,2,2,5,6,1,4,4,1,5,6,1,4,4,1,-9,-9,55,WI,,-9,-9,5
54818,54818,7,2,54868,2,2,3,4,1,3,3,1,3,4,1,3,3,1,-9,-9,55,WI,,-9,-9,1
54819,54819,10.6,1,54819,2,2,4,6,1,3,4,1,4,6,1,3,4,1,-9,-9,55,WI,,-9,-9,5
54820,54820,2,1,54820,2,2,3,4,1,2,3,1,3,4,1,2,3,1,-9,-9,55,WI,,-9,-9,5
54821,54821,10,1,54821,2,2,6,6,1,4,6,1,6,6,1,4,6,1,-9,-9,55,WI,,-9,-9,5
54822,54822,8,1,54822,2,2,3,4,1,2,3,1,3,4,1,2,3,1,-9,-9,55,WI,,-9,-9,5
54824,54824,10.4,1,54824,2,2,3,5,1,2,3,1,3,5,1,2,3,1,-9,-9,55,WI,,-9,-9,5
54826,54826,10,1,54826,2,2,5,5,1,4,4,2,5,5,1,4,4,2,-9,-9,55,WI,,-9,-9,4
54827,54827,10,1,54827,2,2,6,6,1,4,6,1,6,6,1,4,6,1,-9,-9,55,WI,,-9,-9,3
54828,54828,10,1,54828,2,2,6,6,1,6,6,1,6,6,1,6,6,1,-9,-9,55,WI,,-9,-9,4
54829,54829,10,1,54829,2,2,4,5,1,4,3,2,4,5,1,4,3,2,-9,-9,55,WI,,-9,-9,5
54830,54830,10,1,54830,2,2,6,5,2,3,3,2,6,5,2,3,3,2,-9,-9,55,WI,,-9,-9,5
54832,54832,10.3,1,54832,2,2,5,6,1,4,5,1,5,6,1,4,5,1,-9,-9,55,WI,,-9,-9,3
54834,54834,10,2,54817,2,2,5,6,1,4,4,1,5,6,1,4,4,1,-9,-9,55,WI,,-9,-9,1
54835,54835,10,1,54835,2,2,6,6,1,4,5,1,6,6,1,4,5,1,-9,-9,55,WI,,-9,-9,5
54836,54836,2,1,54836,2,2,1,1,2,1,1,2,1,1,2,1,1,2,-9,-9,55,WI,,-9,-9,5
54837,54837,10,1,54837,2,2,5,6,1,4,4,1,5,6,1,4,4,1,-9,-9,55,WI,,-9,-9,5
54838,54838,2,1,54838,2,2,3,5,1,2,4,1,3,5,1,2,4,1,-9,-9,55,WI,,-9,-9,5
54839,54839,10.3,1,54839,2,2,5,6,1,4,6,1,5,6,1,4,6,1,-9,-9,55,WI,,-9,-9,3
54840,54840,10.4,1,54840,2,2,5,6,1,4,5,1,5,6,1,4,5,1,-9,-9,55,WI,,-9,-9,5
54841,54841,7,2,54868,2,2,3,4,1,3,3,1,3,4,1,3,3,1,-9,-9,55,WI,,-9,-9,1
54842,54842,2,2,54849,2,2,2,4,1,1,3,1,2,4,1,1,3,1,-9,-9,55,WI,,-9,-9,1
54843,54843,10,1,54843,2,2,6,6,1,5,6,1,6,6,1,5,6,1,-9,-9,55,WI,,-9,-9,5
54844,54844,10.4,1,54844,2,2,5,6,1,4,5,1,5,6,1,4,5,1,-9,-9,55,WI,,-9,-9,3
54845,54845,10,1,54845,2,2,6,6,1,5,5,2,6,6,1,5,5,2,-9,-9,55,WI,,-9,-9,3
54846,54846,8,1,54846,2,2,6,6,1,5,6,1,6,6,1,5,6,1,-9,-9,55,WI,,-9,-9,4
54847,54847,10.3,1,54847,2,2,3,5,1,2,4,1,3,5,1,2,4,1,-9,-9,55,WI,,-9,-9,5
54848,54848,7,1,54848,2,2,4,6,1,3,5,1,4,6,1,3,5,1,-9,-9,55,WI,,-9,-9,5
54849,54849,2,1,54849,2,2,2,4,1,1,3,1,2,4,1,1,3,1,-9,-9,55,WI,,-9,-9,5
54850,54850,10.3,1,54850,2,2,6,6,1,5,6,1,6,6,1,5,6,1,-9,-9,55,WI,,-9,-9,3
54853,54853,10,1,54853,2,2,4,6,1,3,4,1,4,6,1,3,4,1,-9,-9,55,WI,,-9,-9,5
54854,54854,2,1,54854,2,2,2,3,1,1,3,1,2,3,1,1,3,1,-9,-9,55,WI,,-9,-9,4
